"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4136;Megastar;9773064;"2018-04-05 19:18";60.1469;24.9135;6.3;219;216;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:23";698.08;-44.18;-0.03;on time;on time;complete
4137;Megastar;9773064;"2018-04-05 19:19";60.1445;24.91;11.6;217;217;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:29";698.18;-44.18;0.07;on time;late arrival;complete
4138;Megastar;9773064;"2018-04-05 19:20";60.1412;24.9061;14.2;198;199;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:30";698.19;-44.18;0.08;on time;late arrival;complete
4139;Star;9364722;"2018-04-05 19:21";59.4462;24.7726;3.7;17;159;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:46";698.41;-44.06;0.33;on time;late arrival;complete
4140;Megastar;9773064;"2018-04-05 19:22";60.1344;24.9056;15.9;179;179;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:32";698.23;-44.18;0.12;on time;late arrival;complete
4141;Star;9364722;"2018-04-05 19:22";59.4469;24.7728;2.8;354;107;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 22:13";698.86;-44.06;0.78;on time;late arrival;complete
4142;Megastar;9773064;"2018-04-05 19:22";60.1322;24.9056;16.1;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:32";698.23;-44.18;0.12;on time;late arrival;complete
4143;Star;9364722;"2018-04-05 19:23";59.4478;24.7746;6.0;46;52;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:31";698.16;-44.06;0.07;on time;late arrival;complete
4144;Megastar;9773064;"2018-04-05 19:23";60.1272;24.9055;17.0;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4145;Star;9364722;"2018-04-05 19:24";59.4496;24.7773;11.6;23;22;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:22";698.01;-44.06;-0.08;on time;on time;complete
4146;Megastar;9773064;"2018-04-05 19:24";60.1217;24.9053;18.4;182;182;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:31";698.21;-44.18;0.1;on time;late arrival;complete
4147;Megastar;9773064;"2018-04-05 19:25";60.1159;24.905;19.2;182;182;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:25";698.11;-44.18;0.0;on time;on time;complete
4148;Star;9364722;"2018-04-05 19:24";59.4517;24.7782;13.7;9;6;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4149;Megastar;9773064;"2018-04-05 19:27";60.11;24.904;19.7;187;187;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:21";698.04;-44.18;-0.07;on time;on time;complete
4150;Star;9364722;"2018-04-05 19:26";59.4575;24.7768;17.7;350;349;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:24";698.05;-44.06;-0.05;on time;on time;complete
4151;Megastar;9773064;"2018-04-05 19:28";60.1041;24.902;20.7;190;189;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:27";698.14;-44.18;0.03;on time;late arrival;complete
4152;Star;9364722;"2018-04-05 19:26";59.4621;24.7746;18.4;348;347;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4153;Megastar;9773064;"2018-04-05 19:29";60.0978;24.9006;21.3;185;185;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4154;Star;9364722;"2018-04-05 19:28";59.47;24.771;19.6;350;349;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:28";698.11;-44.06;0.02;on time;late arrival;complete
4155;Star;9364722;"2018-04-05 19:29";59.4746;24.7692;19.8;350;350;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:24";698.05;-44.06;-0.05;on time;on time;complete
4156;Megastar;9773064;"2018-04-05 19:30";60.0899;24.8991;21.9;185;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4157;Star;9364722;"2018-04-05 19:30";59.4831;24.7657;21.0;349;348;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:34";698.21;-44.06;0.12;on time;late arrival;complete
4158;Megastar;9773064;"2018-04-05 19:31";60.0832;24.8981;22.0;184;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:34";698.26;-44.18;0.15;on time;late arrival;complete
4159;Star;9364722;"2018-04-05 19:31";59.4897;24.7625;21.7;346;346;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:25";698.06;-44.06;-0.03;on time;on time;complete
4160;Megastar;9773064;"2018-04-05 19:32";60.0759;24.8976;22.3;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:23";698.08;-44.18;-0.03;on time;on time;complete
4161;Star;9364722;"2018-04-05 19:32";59.4963;24.7588;22.2;345;343;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:32";698.18;-44.06;0.08;on time;late arrival;complete
4162;Megastar;9773064;"2018-04-05 19:33";60.0716;24.8975;22.4;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4163;Star;9364722;"2018-04-05 19:33";59.5029;24.7545;22.2;342;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:28";698.11;-44.06;0.02;on time;late arrival;complete
4164;Megastar;9773064;"2018-04-05 19:34";60.0647;24.8972;22.6;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4165;Star;9364722;"2018-04-05 19:35";59.5091;24.7504;22.4;344;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:30";698.15;-44.06;0.05;on time;late arrival;complete
4166;Megastar;9773064;"2018-04-05 19:35";60.058;24.8971;22.4;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:22";698.06;-44.18;-0.03;on time;on time;complete
4167;Star;9364722;"2018-04-05 19:36";59.5157;24.7459;22.5;343;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4168;Megastar;9773064;"2018-04-05 19:36";60.0525;24.897;22.0;179;179;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:28";698.16;-44.18;0.07;on time;late arrival;complete
4169;Star;9364722;"2018-04-05 19:37";59.5224;24.7416;22.6;344;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:31";698.16;-44.06;0.07;on time;late arrival;complete
4170;Megastar;9773064;"2018-04-05 19:37";60.0465;24.8978;21.7;175;176;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:22";698.06;-44.18;-0.03;on time;on time;complete
4171;Star;9364722;"2018-04-05 19:38";59.5289;24.7372;22.6;343;341;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:19";697.96;-44.06;-0.13;on time;on time;complete
4172;Megastar;9773064;"2018-04-05 19:38";60.0405;24.8988;21.5;175;176;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:30";698.19;-44.18;0.1;on time;late arrival;complete
4173;Star;9364722;"2018-04-05 19:39";59.5356;24.7327;22.7;343;341;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:30";698.15;-44.06;0.05;on time;late arrival;complete
4174;Megastar;9773064;"2018-04-05 19:40";60.0316;24.8997;21.1;181;183;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:28";698.16;-44.18;0.07;on time;late arrival;complete
4175;Star;9364722;"2018-04-05 19:39";59.5368;24.7319;22.5;343;341;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4176;Megastar;9773064;"2018-04-05 19:40";60.0281;24.8994;21.3;183;185;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:24";698.09;-44.18;0.0;on time;on time;complete
4177;Star;9364722;"2018-04-05 19:40";59.5428;24.7277;22.3;343;341;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:21";698.0;-44.06;-0.1;on time;on time;complete
4178;Megastar;9773064;"2018-04-05 19:41";60.0222;24.8987;21.6;183;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4179;Star;9364722;"2018-04-05 19:41";59.55;24.7227;22.3;343;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4180;Megastar;9773064;"2018-04-05 19:43";60.0149;24.8981;21.9;183;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:18";697.99;-44.18;-0.1;on time;on time;complete
4181;Star;9364722;"2018-04-05 19:43";59.5573;24.7174;22.4;342;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:28";698.11;-44.06;0.02;on time;late arrival;complete
4182;Megastar;9773064;"2018-04-05 19:43";60.0107;24.8976;21.9;183;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:30";698.19;-44.18;0.1;on time;late arrival;complete
4183;Star;9364722;"2018-04-05 19:43";59.5621;24.714;22.4;343;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:26";698.08;-44.06;0.0;on time;on time;complete
4184;Megastar;9773064;"2018-04-05 19:44";60.0059;24.8971;21.8;183;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:21";698.04;-44.18;-0.05;on time;on time;complete
4185;Star;9364722;"2018-04-05 19:44";59.5663;24.711;22.3;341;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:31";698.16;-44.06;0.08;on time;late arrival;complete
4186;Megastar;9773064;"2018-04-05 19:45";59.9998;24.8965;21.9;183;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:25";698.11;-44.18;0.02;on time;late arrival;complete
4187;Star;9364722;"2018-04-05 19:46";59.5755;24.7045;22.3;343;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:25";698.06;-44.06;-0.02;on time;on time;complete
4188;Megastar;9773064;"2018-04-05 19:46";59.9956;24.8958;21.8;186;187;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:35";698.28;-44.18;0.18;on time;late arrival;complete
4189;Star;9364722;"2018-04-05 19:47";59.5821;24.6997;22.2;344;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:28";698.11;-44.06;0.03;on time;late arrival;complete
4190;Megastar;9773064;"2018-04-05 19:47";59.9891;24.8939;21.6;189;190;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:29";698.18;-44.18;0.08;on time;late arrival;complete
4191;Star;9364722;"2018-04-05 19:47";59.5832;24.6989;22.1;344;340;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:19";697.96;-44.06;-0.12;on time;on time;complete
4192;Megastar;9773064;"2018-04-05 19:48";59.9836;24.8923;21.9;189;191;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:33";698.24;-44.18;0.15;on time;late arrival;complete
4193;Star;9364722;"2018-04-05 19:49";59.5948;24.691;22.1;339;344;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:34";698.21;-44.06;0.13;on time;late arrival;complete
4194;Megastar;9773064;"2018-04-05 19:50";59.9699;24.8871;22.0;190;191;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4195;Star;9364722;"2018-04-05 19:50";59.6017;24.6881;22.1;347;353;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:33";698.2;-44.06;0.12;on time;late arrival;complete
4196;Megastar;9773064;"2018-04-05 19:50";59.9682;24.8865;21.9;190;192;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:33";698.24;-44.18;0.15;on time;late arrival;complete
4197;Star;9364722;"2018-04-05 19:51";59.6083;24.6873;22.5;11;3;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:31";698.16;-44.06;0.08;on time;late arrival;complete
4198;Megastar;9773064;"2018-04-05 19:50";59.9676;24.8863;21.9;190;192;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:28";698.16;-44.18;0.07;on time;late arrival;complete
4199;Megastar;9773064;"2018-04-05 19:51";59.9628;24.8845;21.8;191;192;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4200;Star;9364722;"2018-04-05 19:53";59.62;24.6915;22.4;21;21;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:18";697.95;-44.06;-0.13;on time;on time;complete
4201;Megastar;9773064;"2018-04-05 19:52";59.9563;24.882;21.8;191;193;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:32";698.23;-44.18;0.13;on time;late arrival;complete
4202;Star;9364722;"2018-04-05 19:53";59.6212;24.6923;22.4;22;23;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:31";698.16;-44.06;0.08;on time;late arrival;complete
4203;Megastar;9773064;"2018-04-05 19:53";59.9504;24.8796;22.0;191;192;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:27";698.14;-44.18;0.05;on time;late arrival;complete
4204;Star;9364722;"2018-04-05 19:55";59.6304;24.701;22.1;25;28;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:33";698.2;-44.06;0.12;on time;late arrival;complete
4205;Megastar;9773064;"2018-04-05 19:54";59.9461;24.8779;21.9;191;192;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:25";698.11;-44.18;0.02;on time;late arrival;complete
4206;Star;9364722;"2018-04-05 19:56";59.6363;24.7069;22.2;27;28;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:30";698.15;-44.06;0.07;on time;late arrival;complete
4207;Megastar;9773064;"2018-04-05 19:55";59.9402;24.8754;21.7;194;196;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:22";698.06;-44.18;-0.03;on time;on time;complete
4208;Star;9364722;"2018-04-05 19:56";59.6389;24.7096;22.1;28;28;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:25";698.06;-44.06;0.0;on time;on time;complete
4209;Megastar;9773064;"2018-04-05 19:56";59.9351;24.8722;21.7;199;201;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:27";698.14;-44.18;0.05;on time;late arrival;complete
4210;Star;9364722;"2018-04-05 19:57";59.6469;24.7183;22.3;30;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:20";697.98;-44.06;-0.08;on time;on time;complete
4211;Megastar;9773064;"2018-04-05 19:59";59.9174;24.8601;21.9;199;200;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:26";698.13;-44.18;0.03;on time;late arrival;complete
4212;Star;9364722;"2018-04-05 19:59";59.6558;24.7282;22.3;30;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:22";698.01;-44.06;-0.05;on time;on time;complete
4213;Megastar;9773064;"2018-04-05 20:00";59.9117;24.8562;21.9;199;200;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:29";698.18;-44.18;0.08;on time;late arrival;complete
4214;Star;9364722;"2018-04-05 20:00";59.6587;24.7314;22.3;31;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:29";698.13;-44.06;0.07;on time;late arrival;complete
4215;Megastar;9773064;"2018-04-05 20:00";59.9093;24.8545;21.9;199;200;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:28";698.16;-44.18;0.07;on time;late arrival;complete
4216;Star;9364722;"2018-04-05 20:01";59.6647;24.7381;22.7;32;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:22";698.01;-44.06;-0.05;on time;on time;complete
4217;Megastar;9773064;"2018-04-05 20:02";59.9013;24.8489;21.8;201;202;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:27";698.14;-44.18;0.05;on time;late arrival;complete
4218;Star;9364722;"2018-04-05 20:02";59.671;24.7451;22.7;31;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.2;-44.06;0.13;on time;late arrival;complete
4219;Star;9364722;"2018-04-05 20:03";59.6769;24.7517;23.0;32;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:29";698.13;-44.06;0.07;on time;late arrival;complete
4220;Megastar;9773064;"2018-04-05 20:02";59.9003;24.8481;22.0;201;202;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:18";697.99;-44.18;-0.1;on time;on time;complete
4221;Star;9364722;"2018-04-05 20:05";59.689;24.7654;23.4;32;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:26";698.08;-44.06;0.02;on time;late arrival;complete
4222;Megastar;9773064;"2018-04-05 20:06";59.8791;24.8318;21.9;202;204;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:26";698.13;-44.18;0.03;on time;late arrival;complete
4223;Star;9364722;"2018-04-05 20:06";59.6929;24.7697;23.6;31;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:29";698.13;-44.06;0.07;on time;late arrival;complete
4224;Megastar;9773064;"2018-04-05 20:07";59.8725;24.8264;21.8;202;203;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:29";698.18;-44.18;0.08;on time;late arrival;complete
4225;Star;9364722;"2018-04-05 20:06";59.695;24.772;23.6;31;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:24";698.05;-44.06;-0.02;on time;on time;complete
4226;Megastar;9773064;"2018-04-05 20:08";59.868;24.8229;21.7;201;203;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:30";698.19;-44.18;0.1;on time;late arrival;complete
4227;Star;9364722;"2018-04-05 20:08";59.7047;24.783;23.4;31;30;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:30";698.15;-44.06;0.08;on time;late arrival;complete
