"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4802;Star;9364722;"2018-04-06 08:55";60.0015;24.9009;22.4;3;3;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:17";1417.93;-0.14;-0.1;on time;on time;complete
4803;Megastar;9773064;"2018-04-06 08:57";59.5952;24.672;23.4;160;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:26";"2018-06-04 09:32";1419.03;-1.0;0.1;on time;late arrival;complete
4804;Star;9364722;"2018-04-06 08:57";60.011;24.902;22.4;5;2;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:26";1418.08;-0.14;0.05;on time;late arrival;complete
4805;Megastar;9773064;"2018-04-06 08:58";59.5899;24.6759;23.3;160;163;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:27";1418.95;-1.0;0.03;on time;late arrival;complete
4806;Star;9364722;"2018-04-06 08:58";60.0148;24.9024;22.5;2;2;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:27";1418.09;-0.14;0.07;on time;late arrival;complete
4807;Megastar;9773064;"2018-04-06 08:59";59.5841;24.6803;23.4;159;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:31";1419.01;-1.0;0.1;on time;late arrival;complete
4808;Star;9364722;"2018-04-06 08:59";60.0217;24.9031;22.3;3;1;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:31";1418.16;-0.14;0.13;on time;late arrival;complete
4809;Megastar;9773064;"2018-04-06 09:00";59.577;24.6855;23.3;159;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:25";1418.91;-1.0;0.0;on time;on time;complete
4810;Star;9364722;"2018-04-06 09:01";60.0349;24.902;22.2;349;350;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:22";1418.01;-0.14;-0.02;on time;on time;complete
4811;Megastar;9773064;"2018-04-06 09:01";59.5708;24.6902;23.4;159;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:28";1418.96;-1.0;0.05;on time;late arrival;complete
4812;Star;9364722;"2018-04-06 09:01";60.0381;24.9009;22.4;349;348;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:15";1417.89;-0.14;-0.13;on time;on time;complete
4813;Megastar;9773064;"2018-04-06 09:02";59.5645;24.6949;23.4;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:31";1419.01;-1.0;0.1;on time;late arrival;complete
4814;Star;9364722;"2018-04-06 09:03";60.0472;24.8977;22.3;352;350;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:26";1418.08;-0.14;0.05;on time;late arrival;complete
4815;Megastar;9773064;"2018-04-06 09:03";59.5582;24.6996;23.4;160;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:25";1418.91;-1.0;0.0;on time;on time;complete
4816;Star;9364722;"2018-04-06 09:04";60.0528;24.8966;21.9;358;357;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:23";1418.03;-0.14;0.0;on time;on time;complete
